,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location,property_type
1008,"3 BHK Flat in Sector 102, Gurgaon","3 BHK Flat in Sector 102, Gurgaon",₹2.35 Cr,"₹13,913 /sqft",3.0,3.0,3 BHK,1689.0,"1,689 sqft",Super Built-up,24 floor,East,Ready To Move,,3.0,,,"This 3 bhk flat is located in adani m2k oyster grande, which houses some of the most spacious flats in sector 102 gurgaon. The flat is facing the east direction. The flat is over 1689 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and more than 3 balconies. The residential building has 24 floors in total and the flat for sale is located on the 11th floor. This 1-5 years old...",Adani M2K Oyster Grande,Adani M2K Oyster Grande,East Facing DPS School Nearby,Flat
1009,"3 BHK Flat in Sector 70A, Gurgaon","3 BHK Flat in Sector 70A, Gurgaon",₹3.1 Cr,"₹14,418 /sqft",3.0,3.0,3 BHK,2150.0,"2,150 sqft",Built-up,14th floor,East,Ready To Move,,3.0,,,"This residential flat is north-East-Facing direction. Constructed on a built up area of 2150 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 3 balconies. This flat is situated on the 14th floor of this 20 floors tall residential building. An added advantage of this 5-10 years old flat is that it is available for immediate possession as the project is already ready to move. The floor of...",M3M Escala,M3M Escala,,Flat
1010,"2 BHK Flat in Sector 70, Gurgaon","2 BHK Flat in Sector 70, Gurgaon",₹1.6 Cr,"₹12,307 /sqft",2.0,2.0,2 BHK,1300.0,"1,300 sqft",Super Built-up,18 floor,West,Ready To Move,,2.0,,,"This beautiful 2 bhk flat in sector 70 gurgaon is situated in shree vardhman victoria, one of the popular residential society in gurgaon. The flat is facing the south-West direction. The flat is over 1300 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 18 floors and this property is situated on 1st floor. An added advantage of this 1-...",Shree Vardhman Victoria,Shree Vardhman Victoria,Huda city centre Nearby Xt xavier school Nearby,Flat
1011,"3 BHK Flat in Sector 106, Gurgaon","3 BHK Flat in Sector 106, Gurgaon",₹2.65 Cr,"₹16,307 /sqft",3.0,3.0,3 BHK,1625.0,"1,625 sqft",Super Built-up,,East,Ready To Move,,2.0,,,"The flat is facing the east direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1625 sq.Ft. This flat lies on the 7th level of a 34 storey building. An added advantage of this 0-1 year old flat is that it is available for immediate possession as the project is already ready to move. The floor of ...",Godrej Meridien,Godrej Meridien,East Facing Newly Constructed,Flat
1012,"3 BHK Flat in Sector 1A IMT Manesar, Gurgaon","3 BHK Flat in Sector 1A IMT Manesar, Gurgaon",₹1.4 Cr,"₹7,588 /sqft",3.0,4.0,3 BHK,1845.0,"1,845 sqft",Super Built-up,20 floor,North-East,Ready To Move,,2.0,,,"The flat is north-East-Facing. Containing 3 bedroom(s), 4 bathrooms and 2 balconies, this flat is spread over a super built up area of 1845 sq.Ft. The residential building has 20 floors in total and the flat for sale is located on the 15th floor. As the project is already ready to move, so you can easily move into this 1-5 years old property. The flat comes well built with concrete flooring opt...",DLF Express Greens,DLF Express Greens,North-East Facing Huda city centre Nearby,Flat
1013,"3 BHK Flat in Sector 102, Gurgaon","3 BHK Flat in Sector 102, Gurgaon",₹2.7 Cr,"₹14,293 /sqft",3.0,3.0,3 BHK,1889.0,"1,889 sqft",Super Built-up,24 floor,East,Ready To Move,,3.0,,,"This beautiful 3 bhk flat in sector 102 gurgaon is situated in adani m2k oyster grande, one of the popular residential society in gurgaon. The flat is east-Facing. Containing 3 bedroom(s), 3 bathrooms and 3 balconies, this flat is spread over a super built up area of 1889 sq.Ft. The flat has a total of 24 floors and this property is situated on 7th floor. As the project is already ready to move...",Adani M2K Oyster Grande,Adani M2K Oyster Grande,East Facing Effco chock Nearby,Flat
1014,"3 BHK Flat in Sector 102, Gurgaon","3 BHK Flat in Sector 102, Gurgaon",₹2.6 Cr,"₹13,763 /sqft",3.0,3.0,3 BHK,1889.0,"1,889 sqft",Super Built-up,20th floor,North-East,Ready To Move,,2.0,,,"Adani m2k oyster grande is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 102 gurgaon is your opportunity to be a part of this community. This property faces the north-East direction. Constructed on a super built up area of 1889 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. This flat is situated on the 20th floor of this 24 fl...",Adani M2K Oyster Grande,Adani M2K Oyster Grande,North-East Facing Gated Society,Flat
1015,"3 BHK Flat in Sector 102, Gurgaon","3 BHK Flat in Sector 102, Gurgaon",₹2.6 Cr,"₹13,763 /sqft",3.0,3.0,3 BHK,1889.0,"1,889 sqft",Super Built-up,24 floor,,Ready To Move,,2.0,,Garden,"This beautiful 3 bhk flat in sector 102 gurgaon is situated in adani m2k oyster grande, one of the popular residential society in gurgaon. Constructed on a super built up area of 1889 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. The flat has a total of 24 floors and this property is situated on 12th floor. As the project is already ready to move, so you can easily move ...",Adani M2K Oyster Grande,Adani M2K Oyster Grande,Private Garden dps within 1km,Flat
1016,"3 BHK Flat in Sector 70A, Gurgaon","3 BHK Flat in Sector 70A, Gurgaon",₹2.8 Cr,"₹15,300 /sqft",3.0,3.0,3 BHK,1830.0,"1,830 sqft",Super Built-up,,North-East,Ready To Move,,2.0,,Garden,"Located in the popular residential address of sector 70a gurgaon, paras irene is one of the most preferred destination for apartments in gurgaon. This 3 bhk flat is your ticket to be a part of this community. The flat is facing the north-East direction. The flat is over 1830 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. This flat lies on the 7th level of a...",Paras Irene,Paras Irene,North-East Facing Private Garden,Flat
1017,"3 BHK Flat in Sector 69, Gurgaon","3 BHK Flat in Sector 69, Gurgaon",₹2.2 Cr,"₹12,910 /sqft",3.0,3.0,3 BHK,1704.0,"1,704 sqft",Super Built-up,,East,Ready To Move,,,,Garden,Tulip yellow sector 69 3bhk apartment read to move best deal avilable,Tulip Yellow,Tulip Yellow,East Facing Private Garden,Flat
1018,"3 BHK Flat in Sector 67A, Gurgaon","3 BHK Flat in Sector 67A, Gurgaon",₹2.69 Cr,"₹15,577 /sqft",3.0,3.0,3 BHK,1727.0,"1,727 sqft",Super Built-up,,North,Ready To Move,,,Store Room,,"3 bhk + store room residential apartment available for sale in ireo the corridors apartment ,sector-67a ,gurgaon....,new flat.,.,.,.Unused flat.,.,.,all sizes available at best prices.,.,.,with all amenities,.,.,4acs, modular kitchen with hob and chimney.,.,.,.,middle floor .Sun facing...On main golf course extension road..Close to sector-55,56 rapid metro station distance 10 minutes.With secur...",Ireo The Corridors,Ireo The Corridors,North Facing CLOSE TO SEC-56 METRO STATION Nearby,Flat
1019,"3 BHK Flat in Sector 102, Gurgaon","3 BHK Flat in Sector 102, Gurgaon",₹3.25 Cr,"₹15,123 /sqft",3.0,4.0,3 BHK,2149.0,"2,149 sqft",Super Built-up,25 floor,North-East,Ready To Move,,3.0,,,"This 3 bhk flat is located in conscient heritage max, which houses some of the most spacious flats in sector 102 gurgaon. This property faces the north-East direction. The flat occupies a super built up area of 2149 sq.Ft. That consists of 3 bedrooms, 4 bathrooms and more than 3 balconies. The residential building has 25 floors in total and the flat for sale is located on the 9th floor. This is...",Conscient Heritage Max,Conscient Heritage Max,North-East Facing Recently Renovated,Flat
1020,"4 BHK Flat in Sector 90, Gurgaon","4 BHK Flat in Sector 90, Gurgaon",₹2.4 Cr,"₹9,602 /sqft",4.0,4.0,4 BHK,2364.0,"2,364 sqft",Super Built-up,,,Ready To Move,,,,,"Dlf new town heights, 4bhk premium apartments available for sale in sec-90, gurgaon. A truly integrated township in new gurgaon which is well connected from nh.-8 , dwarka expressway and manesar.Top of the line construction, excellent designing keeping in view the comforts and space requirements of an apartment, all bedrooms with attached balconies, rich specifications as imported marble/vitrif...",DLF New Town Heights 1,DLF New Town Heights 1,,Flat
